Date, HumidityOut, HumidityIn
1392975252568,77.8,74.9
1392975302408,78,74.9
1392975454682,77.9,75.0
1392975504549,78,74.9
1392975654655,77.7,74.4
1392977555429,72.7,67.8
1392977705511,71,67.6
1392978455976,70.9,67.0
1392979586766,71,66.5
1392979736692,71,66.4
1392980036875,70.6,66.1
1392980186964,70.3,66.0
1392980337082,70.3,66.0
1392980487210,70.2,66.1
1392980637277,70.3,65.9
1392980787392,70.1,65.8
1392980937503,69.9,65.7
1392981087581,69.8,65.7
1392981237675,69.7,65.5
1392981387770,69.7,65.4
1392981537880,69.5,65.3
1392981838087,69.5,65.4
1392982138280,69.4,65.4
1392982288376,69.5,64.9
1392982588575,68.6,64.7
1392983038881,69.4,65.9
1392983188899,70,66.6
1392983338998,70.7,67.2
1392983489108,70.9,67.8
1392983639196,70.8,68.3
1392983789321,71.3,68.7
1392983939380,71.6,69.3
1392984239579,72.4,69.9
1392984389694,72.7,70.3
1392984689877,73.3,70.9
1392984839975,73.4,70.9
1392984990079,73.5,71.2
1392985140201,73.8,71.3
1392985290278,73.9,71.5
1392985440388,74,71.7
1392985590476,74.1,71.6
1392986040781,74.1,71.7
1392986190837,74.1,71.7
1392986791240,74.4,71.9
1392986941340,74.4,71.9
1392987091448,74.5,72.0
1392987241550,74.6,72.0
1392987541781,74.5,72.0
1392987691852,74.5,72.0
1392988142142,74.5,72.0
1392988292249,74.7,71.9
1392988442340,74.5,72.0
1392988592436,74.6,72.0
1392988742541,74.6,72.1
1392988892637,74.6,72.0
1392989042734,74.7,72.0
1392989192838,74.5,72.0
1392989342941,74.6,72.1
1392989943361,74.7,72.1
1392990093438,74.7,72.1
1392990243600,74.6,72.1
1392990393628,74.6,72.2
1392990543781,74.7,72.2
1392991294254,74.9,72.4
1392991444335,74.9,72.4
1392991594440,74.9,72.3
1392991744561,74.9,72.4
1392991894651,75,72.3
1392992044768,75,72.3
1392992194840,75.1,72.4
1392992344937,75,72.3
1392992645149,75.2,72.2
1392993095449,75.2,72.2
1392993545699,75.1,72.4
1392993845897,75.1,72.3
1392993996001,75.1,72.3
1392994146097,75.1,72.3
1392994296210,75,72.4
1392994446301,75,72.4
1392994596407,75,72.5
1392994746504,75,72.6
1392994896599,75,72.6
1392995046702,75,72.6
1392995196798,75,72.6
1392995346910,75,72.5
1392995497033,75.1,72.6
1392995647102,75.1,72.6
1392995797202,75.1,72.6
1392995947313,75.1,73.5
1392996097398,74.9,72.6
1392996397610,74.9,72.5
1392996547701,74.8,72.5
1392996697803,74.8,72.5
1392996847888,75,72.5
1392997148103,74.8,72.4
1392997298235,74.8,72.4
1392997448358,74.8,72.2
1392997598402,74.8,71.9
1392997748499,74.6,71.8
1392997898601,74.2,71.6
1392998048710,74,71.7
1392998198810,73.7,71.7
1392998348901,73.8,71.7
1392998499024,73.8,71.5
1392998649111,73.8,71.3
1392998799203,73.5,71.0
1392998949290,73,70.7
1392999099384,72.3,70.5
1392999399585,71.3,69.7
1392999549672,70.9,69.9
1392999699779,70.8,69.9
1392999849894,70.9,70.0
1392999999989,70.8,69.6
1393000150085,70.5,69.6
1393000450294,70,69.1
1393000600392,70,69.0
1393000900604,70.1,68.8
1393001050756,70.1,68.8
1393001200782,70.1,68.8
1393001350937,70.1,69.0
1393001651098,70.2,69.2
1393001951270,71.1,69.6
1393002101380,71.4,69.8
1393002251522,71.7,69.9
1393002401583,72,70.1
1393002551642,72.3,70.2
1393002851785,72.7,70.5
1393003001884,72.9,70.6
1393003302110,73.2,70.8
1393003452207,73.3,70.8
1393003752405,73.5,70.8
1393003902565,73.5,70.7
1393004202682,73.3,70.5
1393004652971,73,70.1
1393005253364,72.2,69.4
1393005403466,72.1,69.2
1393005553560,71.9,69.0
1393005703667,71.7,68.7
1393005853681,71.4,68.6
1393006003781,71.1,68.5
1393006153894,70.7,68.3
1393006303995,70.6,68.2
1393006454090,70.6,68.2
1393006904469,70.6,68.4
1393007354622,71.2,68.5
1393007504730,71.3,68.5
1393007654839,71.4,68.7
1393007955023,70.6,68.7
1393008405321,71.5,69.0
1393008555423,71.8,69.1
1393008705528,72,69.2
1393008855571,72.1,69.3
1393009005662,72.3,69.4
1393009155762,72.5,69.4
1393009305864,72.5,69.4
1393009455960,72.6,69.4
1393009756170,72.5,69.5
1393009906276,72.6,69.5
1393010056415,72.5,69.5
1393010206462,72.4,69.5
1393010356582,72.4,69.5
1393010506683,72.3,69.4
1393010656774,72.1,69.2
1393010806879,71.9,69.1
1393011257167,71.2,68.8
1393011557363,70.7,68.8
1393011857570,70.7,68.5
1393012157791,70.8,68.1
1393012307873,70.3,67.9
1393012457960,70,67.9
1393012608063,69.6,67.7
1393012758160,69.3,67.5
1393012908260,69,67.4
1393013208465,68.6,67.0
1393013508661,68.1,66.8
1393013693470,68.1,66.6
1393013843380,68,66.5
1393013993474,67.7,66.2
1393014293692,67.3,65.9
1393014443792,67.4,65.7
1393014593878,67.5,65.7
1393014744008,67.4,65.6
1393014894077,67.5,65.6
1393015044210,67.5,65.7
1393015194278,67.6,66.0
1393015344377,68,65.9
1393015494479,67.4,65.8
1393015644606,67.1,65.7
1393015794708,66.9,65.4
1393016094875,67,65.0
1393016244978,66.8,64.7
1393016395084,66.4,64.4
1393016545184,66.1,64.3
1393016695279,66.1,64.3
1393016995485,66.5,64.5
1393017145624,66.8,64.7
