Date, HumidityOut, HumidityIn
1389129939816,47.5,44.7
1389130839765,48,47.7
1389131739843,53.3,40.5
1389132639893,41.4,38.5
1389133539983,40.2,38.2
1389134440012,42.2,39.0
1389135340062,43.5,39.7
1389136240197,44.4,40.0
1389137140264,44.7,41.6
1389138040384,46.7,48.2
1389138940394,54.3,48.8
1389139840494,56.3,55.5
1389140740595,65.7,57.3
1389141640683,67.3,58.1
1389142540755,69.9,55.7
1389143440813,70.5,55.1
1389144340925,72.4,57.3
1389145241014,74.5,57.8
1389146141114,75.7,59.2
1389147041214,75.6,54.3
1389147941303,79.6,53.0
1389148841404,80.1,52.5
1389149741515,81.1,52.0
1389150641604,82.4,51.9
1389151541654,83,52.0
1389152441759,85.1,52.0
1389153341844,85.2,51.7
1389154241951,85.9,51.6
1389155142014,83.1,52.2
1389156042064,80.9,53.3
1389156942085,80.2,53.7
1389157842184,79.5,54.2
1389158742285,79.4,54.6
1389159642384,78.8,54.8
1389160542444,78.5,55.0
1389161442544,79.4,55.4
1389162342595,84,55.6
1389163242694,83.4,55.9
1389164142794,92.1,56.5
1389165042904,94.7,57.0
1389165942994,96.1,57.5
1389166842984,97.3,58.0
1389167743094,98.1,58.3
1389168643126,98.8,58.7
1389169543184,99.5,58.9
1389170443284,99.6,59.1
1389171343375,99.7,59.3
1389172243484,99.9,59.6
1389173143600,99.9,59.9
1389174043654,99.9,60.1
1389174943754,99.9,60.5
1389175843854,99.9,60.6
1389177644064,99.9,60.8
1389178544165,99.9,60.8
1389180344274,99.9,60.8
1389181244344,99.9,61.0
1389182144445,99.9,61.0
1389183944626,99.9,61.5
1389184844724,99.9,61.3
1389185744774,99.9,61.4
1389186644824,99.9,61.4
1389187544934,99.9,61.6
1389188445035,99.9,61.7
1389189345125,99.9,61.9
1389190245134,99.9,62.2
1389191145164,99.9,62.3
1389192945274,99.9,62.5
1389193845354,99.9,62.7
1389194745366,99.9,62.6
1389195645404,99.9,62.9
1389197445576,99.9,63.2
1389198345675,99.9,63.3
1389199245775,99.8,62.9
1389200145875,91.3,62.8
1389201045975,99.9,62.8
1389201946074,99.9,63.4
1389202846084,99.9,63.9
1389203746186,99.9,63.9
1389204646294,99.9,75.3
1389205546384,99.9,76.2
1389206446474,99.9,75.9
1389207346574,97.8,76.0
1389208246675,90.6,74.6
1389209146777,87.3,75.6
1389210046804,87.7,75.2
1389210946885,87.1,76.1
1389211846986,92.3,74.7
1389212747086,87.1,74.0
1389213647185,87.9,72.8
1389214547284,85.2,72.7
1389215447355,83.4,71.8
1389216347446,80.5,71.7
1389217247544,80.1,71.5
1389218147655,78.2,70.8
1389219047745,80.2,69.8
1389219947775,79.7,69.2
1389220847865,81.5,68.7
1389221747964,81.3,68.4
1389222647995,82.6,67.8
1389223548115,83.1,67.4
1389224448146,86.6,67.5
1389225348245,88.5,67.4
1389226248355,93.1,68.1
1389227148447,93,69.0
1389228048545,94.3,69.2
1389229848735,95.7,71.6
1389230748792,95.9,71.2
1389231648875,96.5,71.7
1389232548913,96.4,72.1
1389233448985,95.9,70.9
1389234349085,95.3,71.3
1389235249185,95.2,71.0
1389236149266,94.9,71.2
1389237049335,94.8,71.7
1389237949415,94.8,71.2
1389238849515,94,70.9
1389239749585,94.2,70.5
1389240649697,95.1,70.6
1389241549795,95,70.0
1389243349984,95.5,69.4
1389244250095,94.8,69.4
1389245150185,94.7,69.6
1389246050285,95.1,69.3
1389246950389,96.3,68.9
1389247850487,97.2,68.6
1389248750586,98.6,67.9
1389249650646,99,67.7
1389250550645,99.6,67.7
1389251450746,99.9,67.4
1389252350845,99.9,67.3
1389253250906,99.9,67.5
1389254151016,99.9,67.3
1389255951206,99.9,67.2
1389257751357,99.9,67.0
1389258651447,99.9,66.8
1389259551546,99.9,66.9
1389260451637,99.9,67.1
1389261351736,99.9,67.1
1389262251776,99.9,67.3
1389263151855,99.9,67.4
1389264051946,99.9,67.1
1389264952046,99.9,67.1
1389266752126,99.9,66.8
1389267652176,99.6,66.6
1389268552246,99.6,66.4
1389269452326,99.3,66.3
1389270352296,99.6,66.4
1389271252336,98.5,66.4
1389272152446,99.6,66.6
1389273331531,99.9,66.4
1389273952636,99.9,66.3
1389274852756,99.9,66.5
1389275752826,99.9,66.4
1389276652937,99.9,66.3
1389277553036,99.9,66.4
1389278453136,99.9,66.4
1389279353147,99.9,66.6
1389280253247,99.9,66.7
1389281153256,99.9,66.6
1389282053366,99.9,66.5
1389282953376,99.9,66.6
1389283853476,99.9,66.5
1389284753577,99.9,66.8
1389285653626,99.9,66.7
1389286553647,99.9,67.0
1389287453677,99.9,67.1
1389288353786,99.9,67.0
1389290153986,90.9,66.8
1389291954136,84.7,73.4
1389292854237,81.4,73.3
1389293754336,80.6,72.2
1389294654436,78.4,71.9
1389295554536,80.7,72.0
1389296454637,81.3,71.1
1389297354747,77.7,70.6
1389298254837,79.8,69.7
1389299154916,80.5,69.1
1389300055017,78,67.9
1389300955096,78.6,67.7
1389301855106,79,67.2
1389302755126,76.8,66.2
1389303655226,77.8,65.4
1389304555326,77.6,65.0
1389305455406,78.9,64.5
1389307255607,77.2,63.9
1389308155677,76.8,63.6
1389309055777,78.1,63.2
1389309955886,79.1,62.9
1389310855936,81.8,62.8
1389311756037,83.6,62.7
1389314456177,83.6,63.4
1389315356266,83.6,63.6
1389316256367,85.4,63.7
1389317156466,88.2,64.3
1389318056557,90.7,64.6
1389318956646,91.2,65.0
1389319856746,91.6,65.2
1389320756859,93,65.6
1389322556996,90.2,65.5
1389323457106,90,65.3
1389324357206,92,65.0
1389325257307,93.1,64.7
1389326157397,94.1,63.7
1389327057497,95.1,63.1
1389327957508,95.9,62.5
1389328857616,96.7,61.9
1389329757717,97.3,61.6
1389330657817,97.9,61.5
1389331557917,97.2,61.3
1389332458028,97.9,60.6
1389333358117,98.6,60.4
1389334258217,98.8,60.0
1389335158348,99.3,59.5
1389336058338,99.6,59.3
1389336958397,99.9,59.3
1389337858496,99.9,59.0
1389338758519,99.9,58.7
1389339658616,99.9,58.7
1389340558717,99.9,58.6
1389341458817,99.9,58.4
1389342358917,99.9,58.2
1389343259124,99.9,58.0
1389344159114,99.9,58.2
1389345059206,99.9,57.9
1389345959306,99.9,57.9
1389346859406,99.9,57.8
1389347759505,99.9,57.6
1389348659607,99.9,57.5
1389350459793,99.9,57.4
1389351359876,99.9,57.9
1389352259967,99.9,58.2
1389353160076,99.9,58.1
1389354060166,99.9,58.3
1389354960266,99.9,58.2
1389355860346,99.9,58.2
1389356760436,99.9,58.2
1389357660505,99.9,58.2
1389358560537,99.9,58.1
1389359460586,99.9,58.1
1389360360627,99.9,58.3
1389361260695,99.9,58.3
1389362160756,99.9,58.5
1389363060846,99.9,58.7
1389363960896,99.9,58.9
1389364860997,99.9,59.1
1389365761036,99.9,59.1
1389366661046,99.9,59.6
1389367561056,99.9,59.6
1389368461097,99.9,59.9
1389369361127,99.9,60.3
1389370261126,99.9,61.1
1389371161127,99.9,61.7
1389372961266,99.9,63.6
1389373861266,99.9,63.9
1389374761306,99.9,65.0
1389375661357,99.9,66.0
1389376561407,99.9,67.7
1389377461516,99.9,68.3
1389378361546,99.9,68.8
1389379261616,99.9,68.9
1389380161717,90,68.6
1389381061806,85.5,68.2
1389381961908,85,83.3
1389382862016,84.9,83.3
1389383762117,83.3,81.5
1389384662206,83.4,78.8
1389385562256,80,77.1
1389387362346,76.5,73.3
1389388262446,74.3,70.9
1389389162556,75.3,70.2
1389390062636,74.7,68.6
1389390962716,75.1,68.2
1389391862819,76.1,67.1
1389392762896,74.7,66.2
1389393662986,76.1,65.5
1389394563086,74.7,63.6
1389395463166,74.7,64.1
1389396363267,79.2,63.4
1389397263356,80.3,63.2
1389398163466,82,63.3
1389399063568,84.1,63.7
1389399963677,85.8,64.1
1389400863776,90,64.3
1389401763877,90.2,65.8
1389402663966,91.7,67.2
1389403564067,92.6,67.8
1389404464128,93.2,69.1
1389405364136,94.8,69.0
1389406264186,94.7,68.8
1389407164307,95.5,69.6
1389408064386,98.5,68.6
1389408964496,99.7,67.1
1389409864507,99.6,67.0
1389410764606,99.9,67.2
1389411664617,99.9,67.5
1389412564716,99.8,67.3
1389413464816,99.7,67.4
1389414364937,99.2,67.7
1389415265023,99.5,67.7
1389416165047,99.6,67.5
1389417065146,99.5,67.5
1389417965247,99.8,67.4
1389418865347,99.9,67.1
1389419765446,99.9,66.8
1389420665546,99.9,66.7
1389421565647,99.9,66.6
1389422465767,99.9,66.9
1389423365847,99.9,66.8
1389424265956,99.9,66.6
1389425166047,99.9,66.5
1389426066127,99.9,66.6
1389426966227,99.9,66.7
1389427866247,99.9,66.8
1389429666397,99.9,66.9
1389431466617,99.9,66.8
1389432366762,99.9,66.9
1389433266816,99.9,66.7
1389434166920,99.9,67.1
1389435067017,99.9,67.0
1389435967027,99.9,67.1
1389436867128,99.9,67.3
1389437767127,99.9,67.2
1389438667127,99.9,67.5
1389439567228,99.9,67.7
1389440467317,99.9,67.7
1389441367416,99.9,67.6
1389442267527,99.9,67.8
1389443167628,99.9,67.8
