Date, HumidityOut, HumidityIn
1393267407794,63.6,58.6
1393268007889,63.4,58.1
1393268608002,63.9,58.9
1393269208088,64.8,57.7
1393269808210,64.5,58.1
1393271008462,62.5,58.2
1393272208590,61.8,56.9
1393274608986,60.1,57.3
1393275209092,59.4,58.2
1393278384334,65.8,59.2
1393278984423,66,60.1
1393280784728,66.5,60.5
1393281984935,66.7,61.0
1393283185101,67,60.8
1393283785210,67.3,60.1
1393284385312,67.4,60.5
1393285585474,67.5,60.4
1393286185572,67.6,61.2
1393286785582,68.1,60.3
1393287385669,68,61.4
1393287985775,68.3,60.5
1393289185962,68.6,60.7
1393289786065,68.7,61.5
1393290386203,68.8,61.1
1393290986259,69.1,61.6
1393291586343,69.3,61.5
1393292186449,69.7,61.6
1393292786532,69.9,61.8
1393293986734,70.3,62.3
1393294586822,70.3,61.5
1393296387080,70.7,63.7
1393297587285,74,63.4
1393298187383,70.2,64.0
1393299987668,65.3,63.4
1393300587771,64.5,62.9
1393301787994,63.3,62.7
1393302388092,62.7,62.5
1393303588212,61.5,62.0
1393304188309,61.9,62.0
1393304788390,61.4,62.0
1393305988611,61.3,62.0
1393306818968,61.4,61.8
1393306868845,60.8,61.7
1393308199147,60.9,61.7
1393308249033,61.3,61.6
1393308299054,61.4,61.7
1393308399126,61.4,61.7
1393308449165,61.4,61.7
1393309536181,61.3,61.7
1393309586236,61.5,61.8
1393309636278,61.3,61.7
1393309736411,61.3,61.7
1393309836423,61.3,61.6
1393309886462,61.3,61.6
1393309986558,61.3,61.6
1393310036618,61.3,61.6
1393310086638,61.3,61.6
1393310136675,61.3,61.5
1393310186702,61.2,61.6
1393310236743,61.2,61.7
1393310386863,61.3,61.6
1393310436912,61.4,61.6
1393311489218,61.3,61.6
1393311789234,61.4,61.6
1393311939352,61.4,61.6
1393312089433,61.4,61.6
1393312234224,61.5,61.7
1393312384134,61.5,61.5
1393312534259,61.4,61.3
1393312684346,60.5,61.1
1393312834452,60.6,61.0
1393313134659,60.8,61.1
1393313584956,61.2,61.6
1393313885085,63.1,62.8
1393314035193,64.3,63.5
1393314185282,65.4,64.2
1393314485483,66.6,65.5
1393314785698,67.5,66.0
1393314935783,68,66.3
1393315236013,68.5,66.9
1393315386031,68.3,67.1
1393315986133,68.6,67.8
1393316586249,69.4,67.9
1393317186356,70.2,68.1
1393317786432,70.6,68.3
1393318386533,71.1,68.2
1393318986633,71.4,68.3
1393319586737,71.5,66.9
1393320186813,69.6,66.7
1393320786911,70.7,67.1
1393321387016,71.2,67.3
1393321987131,71.2,67.6
1393323787415,72.8,68.5
1393324387514,73.5,68.8
1393324987616,73.5,68.9
1393325587718,73.6,69.1
1393326187817,74.3,69.6
1393326787917,74.5,69.9
1393327388014,74.7,70.0
1393327988116,75,70.1
1393329188314,75.5,70.2
1393330388556,76,70.4
1393330988613,76,70.2
1393331588718,75.9,70.1
1393332188812,76.1,70.1
1393332788912,76.2,70.4
1393335189313,77,70.8
1393335789355,77,70.6
1393336389438,77,70.6
1393338789857,77.9,71.6
1393339389916,78.3,71.6
1393339990020,78.4,71.7
1393341190217,78.5,71.9
1393342990517,78.1,71.5
1393343590619,78,71.4
1393344790816,76.9,70.5
1393346591106,76.2,70.1
1393347791320,75.3,68.9
1393348391414,74.8,68.2
1393349591633,73.5,68.7
1393350191722,73.6,68.9
1393351991996,69,66.8
1393352592087,68.4,66.6
1393353192173,68,66.6
1393353792276,68.6,66.7
1393354392380,68.1,66.9
1393354992483,68.8,67.0
1393355592557,70.1,66.9
