Date, LiquidTemp, TempOut, TempIn
1392026044492,69.69,69.44,69.6
1392026194594,69.69,69.44,69.6
1392026494802,69.69,69.44,69.4
1392026945092,69.46,69.08,69.4
1392027095192,69.35,69.08,69.4
1392027245295,69.35,69.08,69.3
1392027845706,69.13,68.90,69.1
1392028145915,69.01,68.90,69.1
1392028295974,69.01,68.90,68.9
1392028746274,68.90,68.72,68.9
1392028896397,68.90,68.54,68.9
1392029046492,68.79,68.54,68.9
1392029196572,68.79,68.54,68.7
1392029346592,68.68,68.54,68.7
1392029646782,68.56,68.36,68.5
1392029946994,68.45,68.18,68.5
1392030097075,68.45,68.18,68.4
1392030247181,68.34,68.18,68.4
1392030397271,68.34,68.18,68.4
1392030547385,68.22,68.18,68.2
1392030847583,68.22,68.00,68.2
1392030997681,68.11,68.00,68.2
1392031147745,68.11,68.00,68.0
1392031297861,68.00,68.00,68.0
1392031598045,68.00,67.82,68.0
1392031748142,67.89,67.82,68.0
1392031898242,67.89,67.64,67.8
1392032198422,67.78,67.64,67.8
1392032348523,67.78,67.64,67.8
1392032498615,67.78,67.64,67.8
1392032798825,67.66,67.64,67.6
1392033399212,67.55,67.28,67.5
1392033549322,67.44,67.28,67.5
1392033699442,67.44,67.28,67.5
1392033849524,67.44,67.28,67.5
1392034299821,67.33,67.10,67.3
1392034449915,67.33,67.10,67.3
1392034600025,67.21,67.10,67.3
1392034750112,67.21,67.10,67.1
1392034900214,67.21,67.10,67.1
1392035200412,67.10,66.92,67.1
1392035350511,67.10,66.74,67.1
1392035500612,67.10,66.74,67.1
1392035650715,66.99,66.74,66.9
1392035800804,66.99,66.74,66.9
1392036100992,66.88,66.74,66.9
1392036251092,66.88,66.74,66.7
1392036401191,66.76,66.56,66.7
1392036701392,66.76,66.56,66.7
1392037001603,66.76,66.38,66.6
1392037151692,66.65,66.38,66.6
1392037301792,66.65,66.38,66.6
1392037601932,66.65,66.38,66.6
1392037752022,66.54,66.38,66.6
1392037902124,66.54,66.38,66.4
1392038052192,66.54,66.38,66.4
1392038202322,66.54,66.20,66.4
1392038352384,66.54,66.20,66.4
1392038502475,66.43,66.20,66.4
1392038652585,66.43,66.20,66.4
1392038802683,66.43,66.20,66.2
1392038952785,66.31,66.20,66.2
1392039553175,66.20,66.20,66.2
1392039703281,66.20,66.02,66.2
1392039853364,66.20,66.02,66.2
1392040153461,66.20,66.02,66.2
1392040303562,66.20,66.02,66.0
1392040453663,66.09,65.84,66.0
1392040753862,65.97,65.84,66.0
1392041054065,65.97,65.84,65.8
1392041204162,65.97,65.84,66.0
1392041354262,65.97,65.84,65.8
1392041504365,65.97,65.66,65.8
1392041654455,65.86,65.66,65.8
1392041954664,65.86,65.66,65.8
1392042104752,65.86,65.48,65.8
1392042254845,65.75,65.48,65.8
1392042404942,65.75,65.48,65.8
1392042705145,65.75,65.48,65.7
1392043005345,65.75,65.48,65.7
1392043155433,65.64,65.48,65.7
1392043455642,65.53,65.48,65.5
1392043605732,65.64,65.30,65.5
1392043755854,65.53,65.30,65.5
1392043905942,65.53,65.30,65.5
1392044056035,65.53,65.30,65.5
1392044206141,65.53,65.30,65.5
1392044356231,65.41,65.30,65.5
1392044506345,65.53,65.30,65.3
1392044656414,65.41,65.30,65.3
1392044806546,65.41,65.30,65.3
