Date, LiquidTemp, TempOut, TempIn
1389129938014,63.16,62.78,65.7
1389130838005,54.95,62.78,65.1
1389131738085,56.08,62.78,64.9
1389132638135,57.42,61.52,64.9
1389133538225,58.44,62.96,64.8
1389134438255,59.23,62.60,64.0
1389135338305,59.90,61.88,63.9
1389136238405,60.46,60.26,63.5
1389137138505,60.80,60.08,63.0
1389138038626,61.03,60.26,61.9
1389138938635,61.03,59.54,61.0
1389139838735,60.91,58.28,61.2
1389140738835,60.58,56.30,60.1
1389141638925,60.58,56.30,59.5
1389142538995,60.01,55.40,58.8
1389143439055,59.45,53.78,56.8
1389144339165,58.44,51.62,54.7
1389145239255,57.65,48.56,52.9
1389146139355,56.53,46.94,52.2
1389147039455,56.19,45.14,55.0
1389147939545,56.08,44.06,55.9
1389148839645,56.08,42.98,56.3
1389149739755,55.96,42.08,56.3
1389150639845,55.85,40.64,56.1
1389151539895,55.74,40.10,55.9
1389152439985,55.74,39.20,55.8
1389153340085,55.63,38.84,55.8
1389154240185,55.51,38.84,55.4
1389155140255,55.40,38.84,55.0
1389156040305,55.17,41.36,54.5
1389156940325,55.06,42.80,54.3
1389157840425,54.95,44.24,54.1
1389158740525,54.84,46.04,54.1
1389159640625,54.73,46.40,54.1
1389160540685,54.61,46.94,54.1
1389161440785,54.50,47.48,54.1
1389162340836,54.50,47.84,54.0
1389163240935,54.28,47.84,54.0
1389164141035,54.28,48.20,54.0
1389165041145,54.16,47.48,54.0
1389165941235,54.16,47.48,53.8
1389166841225,54.05,47.84,53.8
1389167741335,54.05,47.84,53.8
1389168641366,53.94,48.20,53.8
1389169541425,53.94,48.38,53.8
1389170441525,53.94,48.74,53.8
1389171341615,53.83,49.10,53.8
1389172241725,53.83,49.10,53.8
1389173141825,53.71,49.10,53.8
1389174041895,53.71,49.28,53.8
1389174941995,53.71,49.28,53.6
1389175842095,53.71,49.28,53.6
1389177642305,53.71,49.10,53.6
1389178542406,53.60,49.46,53.6
1389180342515,53.60,49.82,53.8
1389181242585,53.60,49.82,53.8
1389182142685,53.60,50.00,53.8
1389183942865,53.60,49.82,53.8
1389184842965,53.60,50.00,53.8
1389185743015,53.60,50.36,53.8
1389186643065,53.60,50.36,53.8
1389187543175,53.60,50.18,53.8
1389188443275,53.60,50.18,53.8
1389189343365,53.60,50.18,53.8
1389190243375,53.71,50.18,53.8
1389191143405,53.60,50.18,53.8
1389192943515,53.71,49.82,53.8
1389193843595,53.71,49.64,53.8
1389194743605,53.71,49.64,53.8
1389195643645,53.71,49.46,53.8
1389197443815,53.71,49.64,53.8
1389198343915,53.71,50.18,53.8
1389199244016,53.71,50.90,54.0
1389200144115,53.71,54.14,54.1
1389201044215,53.83,62.06,54.3
1389201944315,53.83,53.60,54.3
1389202844325,53.94,53.60,54.5
1389203744425,53.94,53.78,54.7
1389204644535,54.05,53.06,55.2
1389205544625,54.28,53.60,56.1
1389206444715,54.39,54.50,56.5
1389207344815,54.61,55.58,56.1
1389208244916,54.84,55.22,56.8
1389209145015,55.06,55.04,57.4
1389210045045,55.29,56.48,57.7
1389210945125,55.51,57.20,57.7
1389211845225,55.85,57.56,58.5
1389212745325,56.19,56.12,58.5
1389213645425,56.41,56.30,58.5
1389214545525,56.64,55.76,58.6
1389215445596,56.86,56.12,59.2
1389216345685,57.09,56.84,59.5
1389217245785,57.31,57.74,59.9
1389218145895,57.54,57.92,60.1
1389219045985,57.76,58.10,60.6
1389219946015,58.10,56.84,60.8
1389220846105,58.44,56.66,61.2
1389221746205,58.66,56.48,61.3
1389222646235,58.89,55.94,61.7
1389223546355,59.23,55.58,61.7
1389224446385,59.45,54.68,61.7
1389225346485,59.67,53.60,61.7
1389226246595,59.79,53.06,60.6
1389227146685,59.90,51.98,59.9
1389228046785,59.56,52.34,59.7
