Date, LiquidTemp, TempOut, TempIn
1393267406009,70.03,69.44,69.1
1393268006103,69.58,67.28,68.9
1393268606203,69.46,66.92,68.5
1393269206306,70.03,66.56,69.1
1393269806426,69.69,66.20,68.9
1393271006673,70.03,66.92,69.1
1393272206803,71.26,67.64,70.2
1393274607202,70.93,69.44,70.2
1393275207306,70.25,69.08,69.6
1393278382548,70.14,67.64,69.4
1393278982637,69.13,66.92,68.7
1393280782948,69.58,66.74,68.7
1393281983150,69.13,66.38,68.5
1393283183314,69.01,66.38,68.5
1393283783429,70.03,66.38,69.1
1393284383524,69.24,66.38,68.7
1393285583686,69.35,66.38,68.9
1393286183787,69.35,66.38,68.5
1393286783797,69.58,66.38,68.9
1393287383884,68.90,66.20,68.4
1393287983984,69.69,66.20,68.9
1393289184177,69.80,66.20,69.1
1393289784284,68.79,66.02,68.4
1393290384407,69.69,66.20,68.7
1393290984477,68.79,66.02,68.4
1393291584557,69.46,66.02,68.5
1393292184664,68.79,65.84,68.4
1393292784744,69.24,65.84,68.4
1393293984945,68.90,65.48,68.2
1393294585037,69.01,65.48,68.4
1393296385297,68.34,65.12,67.8
1393297585497,68.90,65.48,68.2
1393298185594,69.24,65.66,68.7
1393299985884,70.59,69.26,70.3
1393300585987,70.93,69.98,70.9
1393301786207,71.60,71.24,71.6
1393302386307,71.94,71.60,72.1
1393303586427,72.39,73.04,72.7
1393304186524,72.72,73.04,72.9
1393304786607,72.95,73.22,73.2
1393305986827,73.51,73.94,73.8
1393306817120,73.74,74.30,73.9
1393306867029,73.74,74.48,73.9
1393308197311,74.41,74.84,74.7
1393308247215,74.30,74.84,74.5
1393308297268,74.30,75.20,74.7
1393308397337,74.41,75.20,74.7
1393308447377,74.41,75.20,74.7
1393309534397,74.75,75.74,75.0
1393309584447,74.75,75.74,75.0
1393309634485,74.86,75.74,75.0
1393309734557,74.86,75.74,75.2
1393309834634,74.97,75.74,75.2
1393309884677,74.86,75.92,75.2
1393309984764,74.97,75.92,75.2
1393310034808,74.97,75.74,75.2
1393310084850,74.97,75.92,75.2
1393310134887,74.97,75.92,75.2
1393310184917,74.97,75.92,75.2
1393310234954,74.97,75.92,75.4
1393310385075,75.09,75.92,75.4
1393310435127,75.09,76.10,75.4
1393311487385,75.43,76.10,75.7
1393311787448,75.43,76.28,75.7
1393311937565,75.43,76.10,75.7
1393312087647,75.54,76.28,75.7
1393312232389,75.54,76.28,75.7
1393312382348,75.54,76.46,75.9
1393312532464,75.54,76.46,75.9
